MatchId;Journee;Stade;Spectateurs;Date;home_team;away_team;home_goal;away_goal;home_possession;away_possession;home_duels_gagnes;away_duel_gagnes;home_duel_aeriens_gagnes;away_duel_aeriens_gagnes;home_interceptions;away_interceptions;home_hors_jeux;away_hors_eux;home_corners_won;away_corners_won;home_passes;away_passes;home_centres;away_centres;home_tirs;away_tirs;home_tirs_cadres;away_tirs_cadres;home_carton_jaune;away_carton_jaune;home_carton_rouge;away_carton_rouge;home_formation;away_formation 
70850;Journée 10;STADE RAYMOND-KOPA;7970;DIM. 9 OCTOBRE 2022- 15:00;ANGERS SCO;RC STRASBOURG ALSACE;2;3;54,5;45,5;50,4;49,6;45,5;54,5;10;7;1;3;6;6;524;425;14;26;14;15;8;7;1;1;0;0;2-2-2-2-2;5-3-2
70851;Journée 10;STADE FRANCIS-LE BLÉ;9819;DIM. 9 OCTOBRE 2022- 15:00;STADE BRESTOIS 29;FC LORIENT;1;2;50,3;49,7;48,2;51,8;31,6;68,4;10;15;0;1;7;8;437;445;34;20;11;14;4;5;3;1;0;0;2-2-2-2-2;3-2-2-2-1
70852;Journée 10;STADE GABRIEL-MONTPIED;11119;DIM. 9 OCTOBRE 2022- 15:00;CLERMONT FOOT 63;AJ AUXERRE;2;1;47,9;52,1;60,2;39,8;58,8;41,2;7;12;5;0;4;4;395;431;19;17;10;14;6;5;0;0;0;0;3-2-2-2-1;4-1-2-2-1
70853;Journée 10;DECATHLON ARENA – STADE PIERRE-MAUROY;48527;DIM. 9 OCTOBRE 2022- 20:45;LOSC LILLE;RC LENS;1;0;45,3;54,7;43,1;56,9;41,7;58,3;13;9;0;2;5;9;366;432;13;20;12;10;6;3;3;5;0;0;2-2-2-3-1;2-2-2-3-1
70854;Journée 10;GROUPAMA STADIUM;41495;VEN. 7 OCTOBRE 2022- 21:00;OLYMPIQUE LYONNAIS;TOULOUSE FC;1;1;58;42;57;43;64;36;7;10;2;1;4;5;556;399;13;14;19;5;8;2;2;2;0;0;2-2-2-3-1;2-2-1-2-2-1
70855;Journée 10;ORANGE VÉLODROME;63312;SAM. 8 OCTOBRE 2022- 17:00;OLYMPIQUE DE MARSEILLE;AC AJACCIO;1;2;65,2;34,8;50;50;48,6;51,4;16;16;2;1;11;2;547;296;26;11;10;6;2;1;0;2;0;0;3-2-2-2-1;2-2-2-2-2
70856;Journée 10;STADE DE LA MOSSON ET DU MONDIAL 98;13048;DIM. 9 OCTOBRE 2022- 13:00;MONTPELLIER HÉRAULT SC;AS MONACO;0;2;50,7;49,3;53,8;46,2;43,5;56,5;14;11;1;0;7;2;411;413;24;16;11;11;1;7;2;3;0;0;2-2-2-3-1;2-2-2-2-2
70857;Journée 10;ALLIANZ RIVIERA;18053;DIM. 9 OCTOBRE 2022- 15:00;OGC NICE;ESTAC TROYES;3;2;60,9;39,1;56,2;43,8;47,6;52,4;7;11;0;0;6;5;615;375;15;24;14;17;6;6;1;1;0;0;3-2-2-2-1;2-2-2-3-1
70858;Journée 10;STADE AUGUSTE-DELAUNE;20543;SAM. 8 OCTOBRE 2022- 21:00;STADE DE REIMS;PARIS SAINT-GERMAIN;0;0;36,5;63,5;44,6;55,4;46,2;53,8;15;8;3;0;7;3;339;613;16;6;24;11;4;3;3;5;0;1;3-5-2;2-2-2-3-1
70859;Journée 10;ROAZHON PARK;27844;DIM. 9 OCTOBRE 2022- 17:05;STADE RENNAIS FC;FC NANTES;3;0;57,8;42,2;48;52;47,4;52,6;5;5;2;3;4;3;474;338;12;17;14;8;4;3;1;0;1;0;2-2-2-2-2;3-2-2-2-1
